fiscal_year,NHS,district,activity,Route Type,Route,Beg MM,End MM,cost,date,segment_id
2017,True,3,GUARDRAIL,Interstate,I 40,164.0,164.0,555.64,2016-12-09,I 40_164.0_164.0
2017,True,2,GUARDRAIL,US,US 380,162.2,162.2,14249.38,2016-12-14,US 380_162.2_162.2
2017,True,2,GUARDRAIL,US,US 70,350.5,350.5,1645.0,2016-12-14,US 70_350.5_350.5
2017,True,2,GUARDRAIL,US,US 70,328.4,328.4,1062.5,2016-12-14,US 70_328.4_328.4
2017,True,2,GUARDRAIL,US,US 70,328.4,328.4,812.5,2016-12-14,US 70_328.4_328.4
2017,True,2,GUARDRAIL,US,US 70,300.1,300.1,7700.0,2016-12-14,US 70_300.1_300.1
2017,True,2,GUARDRAIL,US,US 285,86.0,86.0,3489.22,2016-12-14,US 285_86.0_86.0
2017,True,2,GUARDRAIL,US,US 70,307.1,307.0,1326.25,2016-12-14,US 70_307.1_307.0
2017,True,2,PLANT MIX WEARING COURSE OVERLAY,US,US 285,77.0,80.0,287972.4,2016-12-14,US 285_77.0_80.0
2017,True,2,PLANT MIX WEARING COURSE OVERLAY,US,US 285,77.0,80.0,16562.01,2016-12-14,US 285_77.0_80.0
2017,True,2,PLANT MIX WEARING COURSE OVERLAY,US,US 285,77.0,80.0,434253.52,2016-12-14,US 285_77.0_80.0
2017,False,2,BRIDGE OTHER,State,NM 48,12.8,12.8,82779.69,2016-12-14,NM 48_12.8_12.8
2017,False,2,BRIDGE OTHER,State,NM 48,12.8,12.8,85081.41,2016-12-14,NM 48_12.8_12.8
2017,True,2,FOG SEALING,US,US 285,136.0,146.0,7341.01,2016-12-14,US 285_136.0_146.0
2017,True,3,HOT MIX OVERLAY/ INLAY,State,NM 528,1.8,4.2,802661.24,2017-01-05,NM 528_1.8_4.2
2017,True,3,GUARDRAIL,Interstate,I 40,164.0,164.0,1545.0,2017-01-05,I 40_164.0_164.0
2017,True,2,HOT MIX OVERLAY/ INLAY,US,US 60,329.0,334.0,581921.89,2017-01-10,US 60_329.0_334.0
2017,False,1,CULVERT CLEANING,State,NM 159,8.2,8.2,37718.41,2017-01-11,NM 159_8.2_8.2
2017,True,4,PLANT MIX WEARING COURSE OVERLAY,Interstate,I 25,437.7,442.0,878018.99,2017-01-11,I 25_437.7_442.0
2017,True,4,HOT INSITU SCARIFICATION,Other,LP 15,2.9,4.5,728386.96,2017-01-11,LP 15_2.9_4.5
2017,True,5,GUARDRAIL,Interstate,I 40,196.0,196.0,4723.69,2017-01-13,I 40_196.0_196.0
2017,True,5,GUARDRAIL,Interstate,I 40,208.0,213.0,15110.46,2017-01-13,I 40_208.0_213.0
2017,True,5,GUARDRAIL,Interstate,I 25,276.4,287.1,16050.0,2017-01-13,I 25_276.4_287.1
2017,False,5,BRIDGE OTHER,State,NM 537,12.8,12.8,59556.66,2017-01-13,NM 537_12.8_12.8
2017,False,5,BRIDGE OTHER,FR,FR 2097,2.5,2.5,48779.11,2017-01-13,FR 2097_2.5_2.5
2017,False,5,BRIDGE OTHER,State,NM 68,20.5,20.5,80934.96,2017-01-13,NM 68_20.5_20.5
2017,False,5,GUARDRAIL,State,NM 571,1.7,1.7,3174.52,2017-02-07,NM 571_1.7_1.7
2017,True,5,HOT INSITU SCARIFICATION,US,US 285,392.3,398.0,220821.04,2017-02-07,US 285_392.3_398.0
2017,True,2,HOT MIX OVERLAY/ INLAY,US,US 60,329.0,334.0,102689.08,2017-02-07,US 60_329.0_334.0
2017,True,2,HOT MIX OVERLAY/ INLAY,US,US 54,64.16,69.57,1226293.41,2017-02-07,US 54_64.16_69.57
2017,False,2,COLD MILLING BTMNS SRFCS,State,NM 209,1.5,2.5,48077.73,2017-02-07,NM 209_1.5_2.5
2017,True,5,GUARDRAIL,US,US 64,250.9,271.9,18561.35,2017-03-02,US 64_250.9_271.9
