segment_id,county
FL1480P_0.000_0.671,Santa Fe
FL1481P_0.000_2.436,Santa Fe
FL1482P_0.000_0.633,Santa Fe
FL1483P_0.000_3.520,Santa Fe
FL1484P_0.000_5.183,Santa Fe
FL1485P_0.000_5.016,Santa Fe
FL1486M_0.000_1.034,Santa Fe
FL1486P_0.000_1.034,Santa Fe
FL1487M_0.000_0.574,Santa Fe
FL1487P_0.000_1.219,Santa Fe
FL1488P_0.000_1.817,Santa Fe
FL1489P_0.000_1.593,Santa Fe
FL1490P_0.000_3.130,Santa Fe
FL1491M_0.650_1.202,Santa Fe
FL1491P_0.000_2.353,Santa Fe
FL1492M_2.142_2.450,Santa Fe
FL1492M_2.486_2.579,Santa Fe
FL1492M_2.799_2.896,Santa Fe
FL1492P_0.000_3.959,Santa Fe
FL1493P_0.000_1.065,Santa Fe
FL1494P_0.000_0.782,Santa Fe
FL1495P_0.000_0.400,Lea
FL1496P_0.000_5.228,Lea
FL1497M_0.000_1.005,Lea
FL1497P_0.000_1.005,Lea
FL1501P_0.000_18.966,Harding
FL1501P_18.966_51.560,San Miguel
FL1501P_51.560_51.817,Harding
FL1502P_0.000_37.889,Harding
FL1503P_0.000_4.168,Los Alamos
FL1504P_0.000_0.740,Los Alamos
FL1505P_0.000_0.584,Los Alamos
FL1506P_0.000_7.334,Los Alamos
FL1507P_0.000_2.030,Luna
FL1508P_0.000_2.032,Luna
FL1509P_0.000_3.376,Luna
FL1510P_0.000_1.608,Luna
FL1511P_0.000_2.401,McKinley
FL1512P_0.000_0.659,McKinley
FL1513P_0.000_1.147,McKinley
FL1514P_0.000_6.205,McKinley
FL1515P_0.000_7.216,McKinley
FL1517P_0.000_11.237,McKinley
FL1518P_0.000_11.441,McKinley
FL1519P_0.000_5.421,McKinley
FL1520P_0.000_12.332,McKinley
FL1521P_0.000_0.334,McKinley
FL1522P_0.000_1.556,McKinley
FL1523P_0.000_4.027,McKinley
FL1524P_0.000_24.549,McKinley
FL1525P_0.000_10.982,McKinley
FL1526P_0.000_0.328,McKinley
FL1527P_0.000_0.099,McKinley
FL1528P_0.000_1.013,Mora
FL1529P_0.000_0.204,Sierra
FL1530P_0.000_1.004,Sierra
FL1531P_0.000_5.490,Sierra
FL1532P_0.000_11.002,Sierra
FL1533P_0.000_1.602,Sierra
FL1534P_0.000_0.338,Sierra
FL1535P_0.000_2.552,Sierra
FL1536P_0.000_17.764,Sierra
FL1537P_0.000_27.995,Sierra
FL1538P_0.000_2.444,San Juan
FL1539P_0.000_1.360,San Juan
FL1540P_0.000_1.640,San Juan
FL1541P_0.000_8.420,San Juan
FL1542P_0.000_1.362,San Juan
FL1543P_0.000_5.487,San Juan
FL1544P_0.000_6.864,San Juan
FL1545P_0.000_3.789,San Juan
FL1546P_0.000_4.042,San Juan
FL1547P_0.000_2.119,San Juan
FL1548P_0.000_7.502,San Juan
FL1549P_0.000_2.550,San Juan
FL1550P_0.000_4.540,San Juan
FL1551P_0.000_2.184,San Juan
FL1552P_0.000_14.969,San Juan
FL1554P_0.000_0.190,San Juan
FL1555P_0.000_0.125,San Juan
FL1556P_0.000_0.122,San Juan
FL1557P_0.000_0.501,San Juan
FL1558P_0.000_2.490,San Juan
FL1559P_0.000_0.686,San Juan
FL1560P_0.000_1.073,San Juan
FL1561P_0.000_0.568,San Juan
FL1562P_0.000_0.274,San Juan
FL1563P_0.000_0.722,San Juan
FL1564P_0.000_0.504,San Juan
FL1565P_0.000_0.571,San Juan
FL1566P_0.000_0.496,San Juan
FL1567P_0.000_0.506,San Juan
FL1568P_0.000_0.492,San Juan
FL1569P_0.000_0.501,San Juan
FL1570P_0.000_0.523,San Juan
FL1571P_0.000_0.934,San Juan
FL1572P_0.000_0.484,San Juan
FL1573P_0.000_0.166,San Juan
FL1574P_0.000_0.450,San Juan
FL1575P_0.000_0.738,San Juan
FL1576P_0.000_0.504,San Juan
FL1577P_0.000_0.507,San Juan
FL1578P_0.000_0.999,San Juan
FL1579M_0.000_0.667,San Juan
FL1579P_0.000_1.436,San Juan
FL1580P_0.000_0.636,San Juan
FL1581P_0.000_0.415,San Juan
FL1582P_0.000_2.035,San Miguel
FL1583P_0.000_9.169,San Miguel
FL1584P_0.000_4.288,San Miguel
FL1585P_0.000_0.092,Valencia
FL1586P_0.000_1.077,Valencia
FL1587P_0.000_1.924,Valencia
FL1588P_0.000_1.013,Valencia
FL1589P_0.000_1.220,Valencia
FL1590P_0.000_0.744,Valencia
FL1591P_0.000_2.712,Valencia
FL1592P_0.000_4.092,Valencia
FL1593P_0.000_0.687,Valencia
FL1594P_0.000_1.465,Valencia
FL1595M_1.077_1.506,Valencia
FL1595P_0.000_1.876,Valencia
FL1596P_0.000_5.094,Valencia
FL1597P_0.000_3.581,Valencia
FL1598P_0.000_12.593,Valencia
FL1599P_0.000_0.617,Valencia
FL1600P_0.000_0.218,Sandoval
FL1601P_0.000_1.058,Sandoval
FL1602P_0.000_6.123,Sandoval
FL1603P_0.000_1.682,Sandoval
FL1604P_0.000_1.255,Sandoval
FL1605P_0.000_2.471,Sandoval
FL1606P_0.000_1.400,Sandoval
FL1607P_0.000_1.353,Sandoval
FL1608P_0.000_0.213,Sandoval
FL1609P_0.000_0.090,Sandoval
FL1610P_0.000_1.494,Sandoval
FL1611P_0.000_0.588,Sandoval
FL1612P_0.000_0.386,Sandoval
FL1613P_0.000_0.116,Sandoval
FL1614P_0.000_11.559,Sandoval
FL1615P_0.000_1.630,Sandoval
FL1616P_0.000_1.602,McKinley
FL1617P_0.000_0.153,Sandoval
FL1618P_0.000_0.395,Sandoval
FL1619P_0.000_9.174,Sandoval
FL1621P_0.000_7.468,Sandoval
FL1622P_0.000_0.605,Sandoval
FL1623P_0.000_0.686,Sandoval
FL1624P_0.000_0.476,Sandoval
FL1625P_0.000_0.432,Sandoval
FL1626P_0.000_0.123,Sandoval
FL1627P_0.000_3.397,Sandoval
FL1628P_0.000_2.528,Sandoval
FL1629P_0.000_0.988,Sandoval
FL1630P_0.000_4.167,Sandoval
FL1631P_0.000_6.395,Sandoval
FL1633P_0.000_1.108,Sandoval
FL1634P_0.000_4.162,Sandoval
FL1635P_0.000_0.695,Sandoval
FL1636P_0.000_1.076,Sandoval
FL1637P_0.000_0.807,Sandoval
FL1638P_0.000_2.933,Sandoval
FL1639P_0.000_1.159,Sandoval
FL1640P_0.000_1.865,Sandoval
FL1641P_0.000_1.386,Sandoval
FL1642P_0.000_8.519,Sandoval
FL1643P_0.000_3.692,Sandoval
FL1644P_0.000_0.704,Sandoval
FL1645P_0.000_3.783,Sandoval
FL1646P_0.000_1.215,Sandoval
FL1647P_0.000_6.672,Sandoval
FL1648P_0.000_5.827,Sandoval
FL1649P_0.000_7.304,Sandoval
FL1650P_0.000_7.279,Sandoval
FL1651P_0.000_3.352,Sandoval
FL1652P_0.000_11.336,Sandoval
FL1653P_0.000_14.052,Sandoval
FL1654P_0.000_1.659,Sandoval
FL1655P_0.000_0.408,Sandoval
FL1656P_0.000_9.201,Sandoval
FL1657P_0.000_1.599,Sandoval
FL1658P_0.000_8.759,Sandoval
FL1659P_0.000_10.050,Sandoval
FL1660P_0.000_32.575,Lea
FL1661P_0.000_9.426,Lea
FL1662P_0.000_4.011,Lea
FL1663P_0.000_2.004,Lea
FL1664P_0.000_20.691,Lea
FL1665P_0.000_7.890,Lea
FL1666P_0.000_8.412,Lea
FL1667P_0.000_2.322,Doña Ana
FL1668P_0.000_4.766,Doña Ana
FL1669P_0.000_1.168,Doña Ana
FL1670P_0.000_1.086,Doña Ana
FL1671P_0.000_0.406,Doña Ana
FL1672P_0.000_0.616,Doña Ana
FL1673P_0.000_25.398,Lea
FL1700P_0.000_8.651,Valencia
FL1701P_0.000_0.959,Valencia
FL1702P_0.000_2.119,Valencia
FL1703P_0.000_1.285,Valencia
FL1704P_0.000_3.362,Valencia
FL1705P_0.000_1.309,Valencia
FL1706P_0.000_1.365,Valencia
FL1707P_0.000_1.767,Valencia
FL1708P_0.000_2.044,Valencia
FL1709P_0.000_1.521,Valencia
FL1710P_0.000_1.616,Valencia
FL1711P_0.000_0.995,Valencia
FL1712P_0.000_0.626,Valencia
FL1713P_0.000_0.764,Valencia
FL1714P_0.000_1.496,Valencia
FL1715P_0.000_2.670,Valencia
FL1716P_0.000_5.148,Chaves
FL1717P_0.000_3.476,Sandoval
FL1718P_0.000_0.251,Eddy
FL1719P_0.000_2.366,Doña Ana
FL1720P_0.000_6.582,Bernalillo
FL1721P_0.000_3.251,Bernalillo
FL1722P_0.000_3.601,Bernalillo
FL1723P_0.000_1.904,Bernalillo
FL1724P_0.000_5.812,Bernalillo
FL1725P_0.000_0.629,Bernalillo
FL1726P_0.000_4.909,Bernalillo
FL1727P_0.000_0.500,Chaves
FL1728P_0.000_5.037,Chaves
FL1729P_0.000_1.554,Chaves
FL1730P_0.000_0.776,Chaves
FL1731P_0.000_2.116,Chaves
FL1732P_0.000_5.579,Chaves
FL1733P_0.000_1.993,Eddy
FL1734P_0.000_5.161,Eddy
FL1735P_0.000_23.375,Eddy
FL1736P_0.000_18.433,Eddy
FL1737P_0.000_0.566,McKinley
FL1738P_0.000_3.884,Rio Arriba
FL1739P_0.000_2.656,Rio Arriba
FL1740P_0.000_6.622,Rio Arriba
FL1741P_0.000_2.711,Rio Arriba
FL1742P_0.000_0.186,Rio Arriba
FL1743P_0.000_1.650,Rio Arriba
FL1744P_0.000_7.495,San Juan
FL1745P_0.000_2.693,San Juan
FL1746P_0.000_29.513,San Miguel
FL1747P_0.000_7.749,San Miguel
FL1748P_0.000_1.106,Bernalillo
FL1748P_1.106_15.392,Santa Fe
FL1749P_0.000_4.707,Taos
FL1750P_0.000_1.302,Taos
FL1751P_0.000_0.559,Taos
