order_id,date_declared,year,state_federal_code,origin_office,incident_description,declaration_type,county
2005-058,2005-12-06,2005,S,Richardson,"Disaster in the counties of Guadalupe, Rio Arriba, Cibola, Sierra, San Miguel, and Socorro for flash flooding.",Flash Flooding,Rio Arriba
2005-058,2005-12-06,2005,S,Richardson,"Disaster in the counties of Guadalupe, Rio Arriba, Cibola, Sierra, San Miguel, and Socorro for flash flooding.",Flash Flooding,Cibola
2005-058,2005-12-06,2005,S,Richardson,"Disaster in the counties of Guadalupe, Rio Arriba, Cibola, Sierra, San Miguel, and Socorro for flash flooding.",Flash Flooding,Sierra
2005-058,2005-12-06,2005,S,Richardson,"Disaster in the counties of Guadalupe, Rio Arriba, Cibola, Sierra, San Miguel, and Socorro for flash flooding.",Flash Flooding,San Miguel
2005-058,2005-12-06,2005,S,Richardson,"Disaster in the counties of Guadalupe, Rio Arriba, Cibola, Sierra, San Miguel, and Socorro for flash flooding.",Flash Flooding,Socorro
2005-008,2005-02-17,2005,S,Richardson,"Disaster in the Counties of Grant, Hidalgo, and Catron.",Flooding,Grant
2005-008,2005-02-17,2005,S,Richardson,"Disaster in the Counties of Grant, Hidalgo, and Catron.",Flooding,Hidalgo
2005-008,2005-02-17,2005,S,Richardson,"Disaster in the Counties of Grant, Hidalgo, and Catron.",Flooding,Catron
2005-025,2005-04-25,2005,S,Richardson,Emergency for the State of New Mexico Due to Flooding Concerns Associated with Snowmelt and Runoff.,Flooding,Statewide
2005-043,2005-09-04,2005,S,Richardson,Emergency Due to Effects of Hurricane Katrina and In Support of Relief Efforts.,Hurricane Katrina,Statewide
2005-012,2005-03-07,2005,S,Richardson,Disaster in Taos County Due to Severe Weather,Severe Weather,Taos
2005-016,2005-03-15,2005,S,Richardson,Northern New Mexico Counties Due to Severe Weather.,Severe Weather,Statewide
2005-026,2005-04-26,2005,S,Richardson,"Disaster in Harding, Union, Mora and McKinley Counties Due to Severe Weather.",Severe Weather,Harding
2005-026,2005-04-26,2005,S,Richardson,"Disaster in Harding, Union, Mora and McKinley Counties Due to Severe Weather.",Severe Weather,Mora
2005-026,2005-04-26,2005,S,Richardson,"Disaster in Harding, Union, Mora and McKinley Counties Due to Severe Weather.",Severe Weather,McKinley
2005-026,2005-04-26,2005,S,Richardson,"Disaster in Harding, Union, Mora and McKinley Counties Due to Severe Weather.",Severe Weather,Union
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Bernalillo
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Catron
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Chaves
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Cibola
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Colfax
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Curry
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,DeBaca
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Doña Ana
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Eddy
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Grant
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Guadalupe
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Harding
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Hidalgo
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Lea
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Lincoln
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Los Alamos
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Luna
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,McKinley
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Mora
EM-3229,2005-09-07,2005,F,FEMA,New Mexico Hurricane Katrina Evacuation,Emergency Declaration,Otero
